Source,No,No-Li,Name,SMILES,Alternative_SMILES,Original_SMILES,BBB,Ref
Adenot,,,12dichlorotetrafluoroethane (cryofluorane),FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,,1,
Adenot,,,2methylthiophencyclidine (gacyclidine),CC1CCCCC1(N1CCCCC1)c1sccc1,CC1CCCCC1(N1CCCCC1)c1sccc1,,1,
Adenot,,,7amphetaminoethyltheophylline (fenetylline),CC(Cc1ccccc1)NCCn2cnc3n(C)c(=O)n(C)c(=O)c23,CC(Cc1ccccc1)NCCn2cnc3n(C)c(=O)n(C)c(=O)c23,,1,
Adenot,,,acaprazine,CC(=O)NCCCN1CCN(CC1)c2cc(Cl)ccc2Cl ,CC(=O)NCCCN1CCN(CC1)c2cc(Cl)ccc2Cl ,,1,
Adenot,,,acebrochol,CC(C)CCCC(C)C3CCC4C2CC(Br)C1(Br)CC(CCC1(C)C2CCC34C)OC(C)=O ,CC(C)CCCC(C)C3CCC4C2CC(Br)C1(Br)CC(CCC1(C)C2CCC34C)OC(C)=O ,,1,
Adenot,,,acecarbromal,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O ,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O ,,1,
Adenot,,,acefurtiamine,CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(Cc2cnc(C)nc2N)C=O ,CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(Cc2cnc(C)nc2N)C=O ,,1,
Adenot,,,aceglutamide,CC(=O)NC(CCC(N)=O)C(O)=O ,CC(=O)NC(CCC(N)=O)C(O)=O ,,1,
Adenot,,,aceperone,CC(=O)NCC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccccc3 ,CC(=O)NCC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccccc3 ,,1,
Adenot,,,acetaminosalol,CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2 ,CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2 ,,1,
Adenot,,,acetazolamide,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,,1,
Adenot,,,acetiamine,CC(=O)OCCC(SC(C)=O)=C(C)N(Cc1cnc(C)nc1N)C=O ,CC(=O)OCCC(SC(C)=O)=C(C)N(Cc1cnc(C)nc1N)C=O ,,1,
Adenot,,,acetorphan (racecadotril and ecadotril),CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,,1,
Adenot,,,acetorphine,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(OC(C)=O)ccc6CC2N(C)CCC34c56 ,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(OC(C)=O)ccc6CC2N(C)CCC34c56 ,,1,
Adenot,,,"acetylmethadol (levacetylmethadol, alphacetylmethadol, betacetylmethadol )",CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,,1,
Adenot,,,acevaltrate,CC(C)CC(=O)OC2C=C1C(C(OC=C1COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C23CO3 ,CC(C)CC(=O)OC2C=C1C(C(OC=C1COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C23CO3 ,,1,
Adenot,,,acrocinonide,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC5OC(OC45C(=O)CO)C=C ,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC5OC(OC45C(=O)CO)C=C ,,1,
Adenot,,,acyclovir (aciclovir),NC1=Nc2n(cnc2C(=O)N1)COCCO,NC1=Nc2n(cnc2C(=O)N1)COCCO,,1,
Adenot,,,adafenoxate,Clc4ccc(OCC(=O)OCCNC23CC1CC(CC(C1)C2)C3)cc4 ,Clc4ccc(OCC(=O)OCCNC23CC1CC(CC(C1)C2)C3)cc4 ,,1,
Adenot,,,adatanserin,O=C(NCCN1CCN(CC1)c2ncccn2)C45CC3CC(CC(C3)C4)C5 ,O=C(NCCN1CCN(CC1)c2ncccn2)C45CC3CC(CC(C3)C4)C5 ,,1,
Adenot,,,alaproclate,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 ,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 ,,1,
Adenot,,,alclometasone-dipropionate,CCC(=O)OCC(=O)C3(OC(=O)CC)C(C)CC4C2C(Cl)CC1=CC(=O)C=CC1(C)C2C(O)CC34C ,CCC(=O)OCC(=O)C3(OC(=O)CC)C(C)CC4C2C(Cl)CC1=CC(=O)C=CC1(C)C2C(O)CC34C ,,1,
Adenot,,,alentemol,CCCN(CCC)C1Cc2cccc3cc(O)cc(C1)c23 ,CCCN(CCC)C1Cc2cccc3cc(O)cc(C1)c23 ,,1,
Adenot,,,alfadolone,CC13CCC(O)CC1CCC4C2CCC(C(=O)CO)C2(C)CC(=O)C34 ,CC13CCC(O)CC1CCC4C2CCC(C(=O)CO)C2(C)CC(=O)C34 ,,1,
Adenot,,,alfaxalone (renanolone),CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2C(=O)CC34C ,CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2C(=O)CC34C ,,1,
Adenot,,,alfentanil,CCC(=O)N(c1ccccc1)C3(CCN(CCn2nnn(CC)c2=O)CC3)COC ,CCC(=O)N(c1ccccc1)C3(CCN(CCn2nnn(CC)c2=O)CC3)COC ,,1,
Adenot,,,algestone-acetonide,CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)CCC2(C)C3CCC45C ,CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)CCC2(C)C3CCC45C ,,1,
Adenot,,,aliflurane,COC1(F)C(F)(F)C1(F)Cl ,COC1(F)C(F)(F)C1(F)Cl ,,1,
Adenot,,,alletorphine,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(O)ccc6CC2N(CCC34c56)CC=C ,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(O)ccc6CC2N(CCC34c56)CC=C ,,1,
