ID,SMILES,BBB,Nodes,Edges
1,FC(F)(Cl)C(F)(F)Cl,1,8,14
2,CC1CCCCC1(N1CCCCC1)c1sccc1,1,18,40
3,CC(Cc1ccccc1)NCCn2cnc3n(C)c(=O)n(C)c(=O)c23,1,25,54
4,CC(=O)NCCCN1CCN(CC1)c2cc(Cl)ccc2Cl ,1,21,44
5,CC(C)CCCC(C)C3CCC4C2CC(Br)C1(Br)CC(CCC1(C)C2CCC34C)OC(C)=O ,1,33,72
6,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O ,1,15,28
7,CC(=O)OCC(=O)OCCC(SC(=O)c1ccco1)=C(C)N(Cc2cnc(C)nc2N)C=O ,1,33,68
8,CC(=O)NC(CCC(N)=O)C(O)=O ,1,13,24
9,CC(=O)NCC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccccc3 ,1,29,62
10,CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2 ,1,20,42
11,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,1,13,26
12,CC(=O)OCCC(SC(C)=O)=C(C)N(Cc1cnc(C)nc1N)C=O ,1,25,50
13,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,1,27,56
14,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(OC(C)=O)ccc6CC2N(C)CCC34c56 ,1,33,76
15,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,1,26,54
16,CC(C)CC(=O)OC2C=C1C(C(OC=C1COC(C)=O)OC(=O)CC(C)(C)OC(C)=O)C23CO3 ,1,34,72
17,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC5OC(OC45C(=O)CO)C=C ,1,31,70
18,NC1=Nc2n(cnc2C(=O)N1)COCCO,1,16,34
19,Clc4ccc(OCC(=O)OCCNC23CC1CC(CC(C1)C2)C3)cc4 ,1,25,56
20,O=C(NCCN1CCN(CC1)c2ncccn2)C45CC3CC(CC(C3)C4)C5 ,1,27,62
21,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 ,1,17,34
22,CCC(=O)OCC(=O)C3(OC(=O)CC)C(C)CC4C2C(Cl)CC1=CC(=O)C=CC1(C)C2C(O)CC34C ,1,36,78
23,CCCN(CCC)C1Cc2cccc3cc(O)cc(C1)c23 ,1,21,46
24,CC13CCC(O)CC1CCC4C2CCC(C(=O)CO)C2(C)CC(=O)C34 ,1,25,56
25,CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2C(=O)CC34C ,1,24,54
26,CCC(=O)N(c1ccccc1)C3(CCN(CCn2nnn(CC)c2=O)CC3)COC ,1,30,64
27,CC(=O)C14OC(C)(C)OC1CC5C3CCC2=CC(=O)CCC2(C)C3CCC45C ,1,28,64
28,COC1(F)C(F)(F)C1(F)Cl ,1,10,20
29,CCCC(C)(O)C1CC23C=CC1(OC)C4Oc5c(O)ccc6CC2N(CCC34c56)CC=C ,1,32,74
30,CC1OC(=O)N(CC=C)C1=O ,1,11,22
31,CNCC1CN(C(=O)O1)c3ccc(OCc2cccc(Cl)c2)cc3 ,1,24,52
32,COc3cccc4OCC(CCCNCCCCN2C(=O)CC1(CCCC1)CC2=O)Cc34 ,1,32,70
33,O=C3CCC1(CCC(=O)c2ccccc12)C(=O)N3 ,1,18,40
34,CC(=O)NCCn1c(C)cc(C=O)c1C ,1,15,30
35,CC(CC#N)N(C)CC(=O)N(C)c1ccc(Cl)cc1C(=O)c2ccccc2F ,1,28,58
36,CCC1CN(C)CCC1(OC(=O)CC)c2ccccc2 ,1,20,42
37,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2 ,1,23,48
38,CNS(=O)(=O)c2cc(C(=O)NCC1CCCN1CC=C)c(OC)cc2N ,1,26,54
39,OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23 ,1,19,42
40,CCC5(CC)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,1,33,74
41,CC5(OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO)c6ccccc6 ,1,36,82
42,CC(=O)OCC(=O)C25OC1(CCCC1)OC2CC6C4CCC3=CC(=O)C=CC3(C)C4(F)C(O)CC56C ,1,36,82
43,CCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC ,1,33,72
44,Cc1cccc(C)c1NC(=O)c2ccc(N)cc2 ,1,18,38
45,CC(C)n3cc4CC1C(CC(CN1C)C(=O)NC2CCCCC2)c5cccc3c45 ,1,29,66
46,CC(Cc1ccccc1)NC(C#N)c2ccccc2 ,1,19,40
47,OC(=O)CCCCCCNC2c1ccccc1CCc3ccccc23 ,1,25,54
48,CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC ,1,25,52
49,CN(C)(=O)CCC=C2c1ccccc1CCc3ccccc23 ,1,22,48
50,CC(C)CCOC(CN1CCCC1)c2ccccc2 ,1,19,40
51,CCNC(=O)N3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3 ,1,29,62
52,Nc1cccc(c1)n2ccccc2=O ,1,14,30
53,CC(N)Cc1ccccc1 ,1,10,20
54,CN(C)c1cnccn1 ,1,9,18
55,CCC(C)(C)O ,1,6,10
56,CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3 ,1,26,56
57,COc1ccc(cc1)C(=O)N2CCCC2=O ,1,16,34
58,COc2cc1oc(=O)c(C)c(C)c1cc2OCCCN3CCN(CC3)c4ccccc4OC ,1,33,72
59,CCCNC(=O)c4ccc3Sc1ccccc1N(CCN2CCCC2)c3c4 ,1,27,60
60,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34 ,1,20,46
61,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O ,1,15,30
62,Clc4cccc(N3CCN(CCCCOc2ccc1CCC(=O)Nc1c2)CC3)c4Cl ,1,30,66
63,OCC(O)C1OC(=O)C(=C1O)O ,1,12,24
64,CC(=O)Oc1ccccc1C(O)=O ,1,13,26
65,CCN(CC)c2ccc(NC(=O)c1ccccc1N)c(C)c2 ,1,22,46
66,CN1C2CCC1CC(C2)OC(=O)C(C)(CO)c3ccccc3 ,1,22,48
67,CN1(=O)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3 ,1,22,48
68,CN(C(=O)CNC(=O)C(N)CCCCN)c1ccc(Cl)cc1C(=O)c2ccccc2 ,1,30,62
69,Clc5ccc4n(C1CCN(CC1)CC3COc2ccccc2O3)c(=O)[nH]c4c5 ,1,28,64
70,Nc1ccc(cc1)S(=O)(=O)N3CC2CCC(CC2)C3 ,1,19,42
71,Fc1ccc(cc1)C(=O)CCCN3CCN2CCCC2C3 ,1,21,46
72,OC(C1CCNCC1)(c2ccccc2)c3ccccc3 ,1,20,44
73,O=C1NCCN1C4CCN(CCC3COc2ccccc2O3)CC4 ,1,24,54
74,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3 ,1,24,52
75,C3CN2CCc1ccccc1C2CN3 ,1,14,32
76,C3CNCc2cc1ccccc1n2C3 ,1,14,32
77,CN(CCc2cc3cccc4CCc1ccccc1n2c34)Cc5ccccc5 ,1,28,64
78,Fc1ccc(cc1)C4CC5CN(CCn3c(=O)[nH]c2ccccc2c3=O)CC45 ,1,28,64
79,CCN(CCO)CCn2c(Cc1ccccc1)nc3n(C)c(=O)n(C)c(=O)c23 ,1,28,60
80,CCC1(CC)C(=O)NC(=O)NC1=O ,1,13,26
81,CN1CCN(CC1)C3=Nc2ccccc2Cc4nc(C)nn34 ,1,22,50
82,ClCCC(=O)NCc1ccccc1 ,1,13,26
83,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(O)C(=O)CO,1,28,62
84,COCC1CN(C(=O)O1)c2ccc(OCCC(O)C(F)(F)F)cc2 ,1,24,50
85,CCC1(C)CC(=O)NC(=O)C1 ,1,11,22
86,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2 ,1,24,50
87,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOP(O)(O)=O)SC(=O)c2ccccc2 ,1,31,64
88,CC(=O)Nc2ccc(OC(=O)c1ccccc1OC(C)=O)cc2 ,1,23,48
89,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34 ,1,28,62
90,O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34 ,1,21,48
91,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3 ,1,35,74
92,CN(C)(=O)CCC=C2c1ccccc1C=Cc3c(Cl)cccc23 ,1,23,50
93,C(Cc2cn(Cc1ccccc1)c3ccccc23)c4ccncc4 ,1,24,54
94,CCN(CC)C(=O)C3CN2CCc1cc(OC)c(OC)cc1C2CC3OC(C)=O ,1,29,62
95,CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4 ,1,23,52
96,OCc1ccccc1 ,1,8,16
97,CN2CCc1cc(Cl)c(O)cc1C(C2)c3cc(Br)cc4CCOc34 ,1,24,54
98,CCOC(=O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)c2ccccc2OC34CCCC4 ,1,34,74
99,CC(C)C(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)COC(C)=O ,1,36,78
100,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(OC(=O)c5ccccc5)C(=O)CO ,1,36,80
101,O=C2CC1(CCCC1)CC(=O)N2CCNCC4COc3ccccc3O4 ,1,26,58
102,OC(=O)CCCCC1SCC2NC(=O)NC12 ,1,16,34
103,NCc1ccccc1Sc2ccccc2CO ,1,17,36
104,Fc1ccc(cc1)C(=O)CCCN5CCN4Cc3[nH]c2ccccc2c3CC4C5 ,1,29,66
105,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SSC(CCOC(=O)c3ccccc3)=C(C)N(Cc4cnc(C)nc4N)C=O ,1,54,114
106,CC(=O)NCCCC(NC(C)=O)C(O)=O ,1,15,28
107,CCN1CCN(CC1)c4cc(c2ccc(F)cc2)c3CCCCCCc3n4 ,1,27,60
108,CCC24CCN(CC1(O)CC1)C(Cc3ccc(O)cc23)C4(C)C ,1,23,52
109,CC1(C)OC(=O)Nc2ccc(Br)cc12 ,1,14,30
110,Brc3ccc2NC(=O)CN=C(c1ccccn1)c2c3 ,1,19,42
111,CC(C)C(Br)C(=O)NC(N)=O ,1,11,20
112,BrC(Br)Br ,1,4,6
113,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Br)cc3 ,1,26,56
114,Cc1cc(Br)cc(C(N)=O)c1O ,1,12,24
115,Brc1cccc(c1)C2CC(=O)NC2=O ,1,14,30
116,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Br)sc2n34 ,1,22,50
117,Nc2nc1n(CCC(O)CO)cnc1c(=O)[nH]2 ,1,17,36
118,CC(C)(C)c4ccc(CN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3)cc4 ,1,31,68
119,COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67 ,1,34,80
120,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1 ,1,16,32
121,OCCOC(=O)NCc1ccccc1 ,1,14,28
122,CC(=O)Nc1ccc(OC(C)(C)C)cc1 ,1,15,30
123,CC(C)(C)C3(O)CCN2CC4c1ccccc1CCc5cccc(C2C3)c45 ,1,27,62
124,CCCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(C)CC2)c3c4 ,1,29,64
125,CCCCC(CC)CNC(=O)CC(C)O ,1,15,28
126,Oc4ccc3CC1N(CCC2(CCCCC12O)c3c4)CC5CCC5 ,1,24,56
127,CCNC(=O)N(CCCN(C)C)C(=O)C4CC1C(Cc2c[nH]c3cccc1c23)N(CC=C)C4 ,1,33,72
128,CC(NCCn1cnc2n(C)c(=O)n(C)c(=O)c12)C(O)c3ccccc3 ,1,26,56
129,CN(C)C(=O)OC3N=C(c1ccccc1)c2cc(Cl)ccc2N(C)C3=O ,1,26,56
130,CC1(C)C2CCC1(C)C(=O)C2 ,1,11,24
131,CCCCCC(=NOCCN)c1ccc(C)c(N)c1 ,1,19,38
132,CCCCSc1ccc(cc1)C(SCCN(C)C)c2ccccc2 ,1,24,50
133,CCC(C)C(CC)C(=O)NC(N)=O ,1,13,24
134,NC(=O)N2c1ccccc1C=Cc3ccccc23 ,1,18,40
135,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O ,1,19,38
136,CN2C(=O)CN(C(c1ccccc1)c3cc(Cl)ccc23)C(N)=O ,1,23,50
137,NC(=O)OC(C#C)c1ccccc1 ,1,13,26
138,OC(=O)C1CCN1C34CC2CC(CC(C2)C3)C4 ,1,17,40
139,NC(=O)CN2Cc1ccccc1OC2=O ,1,15,32
140,CC(C)NC(=O)OC2CCN(CCCC(=O)c1ccc(F)cc1)CC2 ,1,25,52
141,CCC(=O)c4ccc3Sc1ccccc1N(CCCN2CCN(CCO)CC2)c3c4 ,1,30,66
142,NS(=O)(=O)c1ccc(cc1)C(O)=O ,1,13,26
143,CC(N)C(=O)c1ccccc1 ,1,11,22
144,Clc1ccc(cc1)C3CN(CC(=O)N2CCNC(=O)C2)C(=O)C3 ,1,23,50
145,OC1OC(COCCOC(O)C(Cl)(Cl)Cl)C(OC2OC(COCCOCCOC(O)C(Cl)(Cl)Cl)CC(OC(O)C(Cl)(Cl)Cl)C2O)C(OCCOCCOC(O)C(Cl)(Cl)Cl)C1O,1,61,124
146,COCc1c(nc(C(C)C)c(C=CC(O)CC(O)CC(O)=O)c1c2ccc(F)cc2)C(C)C ,1,33,68
147,Cc1cc(C)c(=O)[nH]n1 ,1,9,18
148,CC(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,1,20,40
149,CCOC(=O)OCCC(SC(=O)OCC)=C(C)N(Cc1cnc(C)nc1N)C=O ,1,29,58
150,OC(O)C(Cl)(Cl)Cl ,1,7,12
151,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,1,17,36
152,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O ,1,20,40
153,CNC2=Nc1ccc(Cl)cc1C(=N(=O)C2)c3ccccc3 ,1,21,46
154,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,1,14,26
155,CN2C(c1ccc(Cl)cc1)S(=O)(=O)CCC2=O ,1,17,36
156,ClC(Cl)Cl ,1,4,6
157,CC(=O)OCC(=O)C3(O)CCC4C2CC(Cl)C1=CC(=O)C=CC1(C)C2C(=O)CC34C ,1,30,66
158,OC(=O)c2cc(=O)c1ccccc1o2 ,1,14,30
159,CC(C)C(=O)OCC(=O)C14OC(OC1CC5C3CCC2=CC(=O)C=CC2(C)C3C(O)CC45C)C6CCCCC6 ,1,39,88
